sample_id,split,eligible_split,eligible_core,eligible_full
2022-01-01,train,True,True,False
2022-01-02,train,True,True,False
2022-01-03,train,True,True,False
2022-01-04,train,True,True,False
2022-01-05,train,True,True,False
2022-01-06,train,True,True,False
2022-01-07,train,True,True,False
2022-01-08,train,True,True,False
2022-01-09,train,True,True,False
2022-01-10,train,True,True,False
2022-01-11,train,True,True,False
2022-01-12,train,True,True,False
2022-01-13,train,True,True,False
2022-01-14,train,True,True,False
2022-01-15,train,True,True,False
2022-01-16,train,True,True,False
2022-01-17,train,True,True,False
2022-01-18,train,True,True,False
2022-01-19,train,True,True,False
2022-01-20,train,True,True,False
2022-01-21,train,True,True,False
2022-01-22,train,True,True,False
2022-01-23,train,True,True,False
2022-01-24,train,True,True,False
2022-01-25,train,True,True,False
2022-01-26,train,True,True,False
2022-01-27,train,True,True,False
2022-01-28,train,True,True,False
2022-01-29,train,True,True,False
2022-01-30,train,True,True,False
