sample_id,target_end,reference_price,future_price,return_24h,label
2022-01-01,2022-01-02T00:00:00+00:00,46216.93,47722.65,0.032579403261964845,BUY
2022-01-02,2022-01-03T00:00:00+00:00,47722.65,47286.18,-0.009145971566960398,NEUTRAL
2022-01-03,2022-01-04T00:00:00+00:00,47286.18,46446.1,-0.01776586732106511,SELL
2022-01-04,2022-01-05T00:00:00+00:00,46446.1,45832.01,-0.013221562197902492,SELL
2022-01-05,2022-01-06T00:00:00+00:00,45832.01,43451.13,-0.0519479726069183,SELL
2022-01-06,2022-01-07T00:00:00+00:00,43451.13,43082.31,-0.008488156694659077,NEUTRAL
2022-01-07,2022-01-08T00:00:00+00:00,43082.31,41566.48,-0.0351845107655554,SELL
2022-01-08,2022-01-09T00:00:00+00:00,41566.48,41679.74,0.002724791707163998,NEUTRAL
2022-01-09,2022-01-10T00:00:00+00:00,41679.74,41864.62,0.004435728245905768,NEUTRAL
2022-01-10,2022-01-11T00:00:00+00:00,41864.62,41822.49,-0.0010063390041520348,NEUTRAL
2022-01-11,2022-01-12T00:00:00+00:00,41822.49,42729.29,0.021682114096984728,BUY
2022-01-12,2022-01-13T00:00:00+00:00,42729.29,43902.66,0.027460554575093665,BUY
2022-01-13,2022-01-14T00:00:00+00:00,43902.66,42560.11,-0.03058015163545902,SELL
2022-01-14,2022-01-15T00:00:00+00:00,42560.11,43059.96,0.011744565509816507,BUY
2022-01-15,2022-01-16T00:00:00+00:00,43059.96,43084.29,0.0005650260706233645,NEUTRAL
2022-01-16,2022-01-17T00:00:00+00:00,43084.29,43071.66,-0.0002931462953200681,NEUTRAL
2022-01-17,2022-01-18T00:00:00+00:00,43071.66,42201.62,-0.020199825128634497,SELL
2022-01-18,2022-01-19T00:00:00+00:00,42201.62,42352.12,0.003566213808853691,NEUTRAL
2022-01-19,2022-01-20T00:00:00+00:00,42352.12,41660.01,-0.01634180296051302,SELL
2022-01-20,2022-01-21T00:00:00+00:00,41660.01,40680.91,-0.023502154704235556,SELL
2022-01-21,2022-01-22T00:00:00+00:00,40680.91,36445.31,-0.10411763158690412,SELL
2022-01-22,2022-01-23T00:00:00+00:00,36445.31,35071.42,-0.03769730590849685,SELL
2022-01-23,2022-01-24T00:00:00+00:00,35071.42,36244.55,0.033449743409305954,BUY
2022-01-24,2022-01-25T00:00:00+00:00,36244.55,36660.35,0.011472069593911227,BUY
2022-01-25,2022-01-26T00:00:00+00:00,36660.35,36958.32,0.008127854753159802,NEUTRAL
2022-01-26,2022-01-27T00:00:00+00:00,36958.32,36809.34,-0.004031027384361674,NEUTRAL
2022-01-27,2022-01-28T00:00:00+00:00,36809.34,37160.1,0.009529103211304513,NEUTRAL
2022-01-28,2022-01-29T00:00:00+00:00,37160.1,37716.56,0.01497466368497391,BUY
2022-01-29,2022-01-30T00:00:00+00:00,37716.56,38166.84,0.011938522495158699,BUY
2022-01-30,2022-01-31T00:00:00+00:00,38166.84,37881.76,-0.0074693110564038045,NEUTRAL
